class,frame_count,area_min,area_avg,area_max,beg_to_min_avg,beg_to_min_max,min_to_end_min,min_to_end_avg,min_to_end_max
Sleepy,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Sleepy,7,0.932,0.932,0.932,0.227,0.453,0.600,0.600,0.600
Not Sleepy,10,0.477,0.644,0.799,0.091,0.322,0.162,0.285,0.345
Not Sleepy,9,0.831,1.223,1.615,0.078,0.160,0.315,0.556,0.798
Not Sleepy,12,0.826,1.062,1.334,0.127,0.382,0.344,0.431,0.497
Not Sleepy,10,0.279,0.840,1.233,0.109,0.320,0.152,0.385,0.518
Not Sleepy,14,0.694,1.075,1.530,0.103,0.307,0.473,0.588,0.795
Not Sleepy,15,0.698,0.925,1.030,0.080,0.172,0.325,0.438,0.521
Not Sleepy,12,0.694,0.948,1.173,0.117,0.340,0.302,0.431,0.512
Not Sleepy,13,0.972,1.080,1.273,0.139,0.339,0.302,0.419,0.508
Not Sleepy,24,0.285,0.934,3.328,0.074,0.500,0.167,0.509,1.675
Not Sleepy,9,0.999,1.134,1.269,0.081,0.171,0.467,0.576,0.684
Sleepy,86,0.285,1.436,3.900,0.180,0.771,0.150,0.641,1.999
Sleepy,51,0.282,0.883,3.138,0.188,0.848,0.146,0.377,1.510
Sleepy,19,0.288,1.182,1.965,0.121,0.320,0.160,0.559,0.966
Sleepy,11,0.283,1.366,2.449,0.115,0.307,0.157,0.697,1.237
Sleepy,50,0.280,0.862,2.844,0.077,0.466,0.149,0.429,1.554
Sleepy,23,0.285,1.114,2.938,0.120,0.471,0.158,0.624,1.413
Sleepy,69,0.282,1.886,3.481,0.159,0.644,0.151,0.979,1.974
Sleepy,76,0.286,1.599,3.882,0.238,1.459,0.151,0.744,1.755
Sleepy,117,0.281,2.006,6.831,0.409,3.000,0.154,0.767,2.571
Sleepy,48,0.273,1.088,3.491,0.143,0.499,0.157,0.537,1.779
Not Sleepy,32,0.256,0.962,2.563,0.113,0.600,0.147,0.472,1.051
Not Sleepy,46,0.254,0.903,2.101,0.134,1.070,0.148,0.398,1.064
Not Sleepy,21,0.276,0.551,2.033,0.027,0.163,0.149,0.316,1.159
Not Sleepy,21,0.254,0.600,2.095,0.052,0.342,0.149,0.312,1.316
Not Sleepy,5,0.267,0.276,0.284,0.000,0.000,0.153,0.187,0.315
Not Sleepy,4,1.022,1.022,1.022,0.163,0.325,0.325,0.325,0.325
Not Sleepy,11,0.283,0.701,1.258,0.051,0.157,0.162,0.353,0.626
Not Sleepy,17,0.267,0.652,1.367,0.039,0.175,0.153,0.369,0.700
Not Sleepy,23,0.270,0.546,1.463,0.062,0.343,0.147,0.262,0.812
Not Sleepy,20,0.267,0.655,1.321,0.106,0.481,0.149,0.272,0.482
Sleepy,83,0.200,1.278,5.737,0.466,2.957,0.149,0.593,3.354
Sleepy,162,0.170,0.805,3.477,0.286,1.732,0.149,0.512,4.517
Sleepy,131,0.162,0.644,2.552,0.249,1.211,0.150,0.312,1.633
Sleepy,65,0.168,0.486,2.478,0.241,1.899,0.148,0.265,0.949
Sleepy,45,0.181,0.463,1.692,0.162,0.955,0.148,0.242,0.508
Sleepy,61,0.169,0.343,1.377,0.064,0.525,0.150,0.207,0.610
Sleepy,97,0.193,0.479,3.757,0.079,0.613,0.148,0.303,3.091
Sleepy,68,0.176,0.314,0.968,0.031,0.453,0.148,0.224,0.531
Sleepy,43,0.196,0.297,0.817,0.037,0.481,0.148,0.194,0.662
Sleepy,51,0.192,0.263,0.623,0.018,0.172,0.149,0.185,0.356
